id,lida,name,text,photo,date
191,0,Schemes for Promotion of Sports in Rural and Sub-Urban Areas in India,"\r\n\r\n\r\n\r\n\r\n\r\n\r\n<p>'Panchayat Yuva Krida Aur Khel Abhiyan', a centrally sponsored scheme, has \r\nbeen introduced from 2008-09, for creation of basic sports infrastructure in all \r\nvillage and block panchayats and for conducting sports competitions at block, \r\ndistrict, state and national level in India. The XIth Five Year Plan outlay for \r\nthis scheme is Rs.1500 crore. The scheme envisages to cover around 2.50 lakh \r\nvillage panchayats and 6,400 block panchayats (including their equivalent units) \r\nin a phased manner, over a period of 10 years, at an annual coverage of 10% for \r\nnormal states and 20% in the case of special category states and border \r\ndistricts. The scheme is implemented through the state governments/ UTs. \r\nadministrations. An amount of Rs. 8.89 crore was released to Government of \r\nUttarkhand during 2008-09 and 2009-10 for creating basic sports infrastructure \r\nin 750 village panchayats and 10 block panchayats. For conducting competition in \r\n95 blocks and 13 districts during 2009-10, an amount of Rs.1.03 crore was \r\nalready released to Uttarkhand State. This was stated by Shri Pratik Prakashbapu \r\nPatil Minister of State of Youth Affairs & Sports in the Rajya Sabha today, \r\nin a written reply to a question by Shri Bhagat Singh Koshyari.</p>\r\n<p>The Minister further stated that scheme of Special Area Games (SAG) is \r\nimplemented by Sports Authority of India (SAI) under which, sports talent in \r\ntribal, areas is identified and nurtured. The trainees, who are in the age group \r\nof 14 to 21 years, are admitted in the training centres on residential and \r\nnon-residential basis. They are provided with sports kit, sports equipments, \r\ncompetition exposure, insurance, medical expenses, etc. There are 21 centres \r\nwherein 1142 boys and 775 girls are now being trained. \r\n</p>",<blank>,2010-04-04
192,0,"New money, new funding approach for outdoor recreation in New Zealand","\r\n\r\n\r\n\r\n\r\n\r\n\r\n<p>SPARC (Sport & Recreation New Zealand) chief executive \r\nPeter Miskimmin has announced an extra $500,000 and a new contestable approach \r\nfor SPARC's investment in outdoor recreation. </p>\r\n<p>Mr Miskimmin said that from July this year, there would be \r\na $1.2 million contestable fund available for investing in outdoor recreation. \r\n</p>\r\n<p>SPARC has been investing about $700,000 a year in 13 \r\norganisations involved in the outdoor recreation sector.</p>\r\n<p>Mr Miskimmin said the move to a contestable fund was \r\nrecommended by the Sir Edmund Hillary Outdoor Recreation Council (SEHORC),a \r\ngroup of sector experts which advises SPARC.</p>\r\n<p>""A contestable approach will allow a wider range of \r\norganisations to put forward proposals,"" Mr Miskimmin said. </p>\r\n<p>""The aim of this investment approach is to achieve \r\nincreasing, long-lasting participation in outdoor recreation with an initial \r\nfocus on youth.""</p>",<blank>,2010-04-23
193,0,The Strategic Direction of Malaysian Sports - Clubs as the solid foundation,"<b>By Encik Wan Yew Leong, former President of Pacesetters Athletic Club \r\nMalaysia.</b><b>OCM Conference to formulate OCM’s Strategic Plan \r\n2011-2016</b> The Executive Board of Olympic Council of Malaysia (OCM) \r\ndecided that a strategic plan be formulated to chart the progress of OCM over \r\nthe next 5 years. This task has been given to the Strategic Planning Committee \r\nchaired by the Deputy President, Y.Bhg. Datuk Dr. M. Jegathesan. The process of \r\nformulating the five year plan will start with a Conference with the Theme ""From \r\n'good' to 'great' – taking OCM to New Heights"".\xa0I find that the term ""sports development"" is not well understood as it usually \r\nrefers to the churning out athletes in high performance sports. I feel sports \r\ndevelopment should be broad base, introducing & promoting the sports to \r\nindividuals, from the young to the old, from those with more natural talent to \r\nthose with lesser capabilities. This is where I feel failure among most NSAs. \r\nNSAs are very medals focused, measured by number of gold medals in regional \r\ngames and I feel they could be obsessed with it at times. In their mission and \r\ngoals, sports for all are excluded. <b>Of Foundation, Clubs and Sports \r\nfor All</b>I like to comment on the role of clubs in sports development and \r\ninculcating sports for all. I was at the OCM Museum during the recent OCM Youth \r\nLeadership Conference and I saw on chart that I reproduce here to show the \r\nrelationship of the sports structure globally.<b>Sports\xa0</b>Having taken a helicopter view from 30,000 feet above sea level, let's try to go \r\nto the ground and see what's happening. Since I am a recreational runner, I \r\nwould use athletics as the example. Sports governance exists for the purpose of \r\nthe sports to serve the athletes. The athletes usually are individuals or \r\nmembers of a sports club, in my case I am a member of Pacesetters Athletic Club, \r\nMalaysia.(PACM) PACM, in turn belongs to Federal Territory Amateur Athletic \r\nAssociation (FTAAA) which is the state sports association (SSA) for athletics \r\ngoverning the sports. FTAAA is affiliated to Malaysian Amateur Athletic Union \r\n(MAAU) (http://maau.net.blog) the national sports association governing \r\nathletics in Malaysia. MAAU is the only recognized athletic body in Malaysia \r\nthat is affiliated to International Association of Athletics Federations (IAAF) \r\n(http://www.iaaf.org), the global body governing athletics. At the same time, \r\nMAAU is also affiliated to OCM, the coordinating body for all national sports \r\nassociations. IAAF and OCM along with all other International Federations of \r\nother sports and various National Olympic Associations are affiliated to the \r\nInternational Olympic Committee (www.olympic.org) , based in Switzerland.The \r\nvision, mission and goal of MAAU are as \r\nfollows;<i><b>VISION</b>The heartbeat of world-class athletics in \r\nthe region<b>MISSION</b> To develop, produce and manage \r\ncompetitive world-class athletes who excel at the regional and world meets in \r\norder to bring honours to the country.<b>GOALS</b>Produce \r\nworld-class athletes who excel at regional and world meets by 2012Develop, \r\nproduce and maintain a strong back-up squad at all times.In close \r\ncooperation with NSC, set up centres of excellence with the necessary \r\ninfrastructure that cater for the needs of athletes by 2008.Implement a high \r\nperformance athletics system by 2006.In close cooperation with NSC, \r\nestablish a national sports science centre and related sport science system by \r\n2010</i>While this article is not intended to critic MAAU’s Vision \r\nMission statement, I can't help but find the sports for all piece is totally \r\nmissing from the goals, it is all about high performance sports. I wonder \r\nwhether sports for all are in the State AAAs’ goals. This perhaps partly \r\nexplains the missing link in the sports clubs as sports clubs tend to be more \r\nrecreational rather than high performance. Now why do I take so much \r\npain to explain the relationship? It is my intention to dwell with the substance \r\nand form of this governing structure. The fundamental role of the NSAs is to \r\ngovern and promote their sports. Therefore, if a certain sport in a country is \r\nnot doing well, the buck stops at the NSA. In Malaysia, the NSAs promote their \r\nsports via the SSAs. This is where the problem lies, not all the SSAs are \r\ncapable or active. Of course due consideration has to be given to small states \r\nlike Perlis as compared to large state like Selangor, the population of the \r\nstates, their demography will determine the popularity of the sports. Within the \r\nstates we have the districts sports activities promoted by the state sports \r\ncouncils. The membership of the SSA is from the sports clubs. The strength and \r\nweakness clearly lies in the sports clubs. In many sports, especially in \r\nathletics, the clubs are few. Just use FTAAA as an example, I recall FTAAA \r\nhaving more than 130 affiliates of various clubs and associations back in the \r\neighties when even my old boys association was a member. Now FTAAA has about 30 \r\naffiliates and even these affiliates are by and large inactive. FTAAA is \r\nconsidered one of the strongest SSAs and you can imagine the situation in the \r\nsmaller states. This problem is repeated in many other sports where the vacuum \r\nis greatly felt at the demise of the sports clubs, in short, the SSAs are \r\nhollow! A few years ago when we have Datuk Azalina as Sports Minister, the \r\nrevival of the sports clubs is very much talk about at national level. However, \r\nthe status of the issue is that we talked about it, nothing more! We can say \r\ntoday we have a big vacuum at the SSAs and the clubs. The role of the \r\nclubs is not just about development of sports at high performance level but \r\nfulfill the very important role of promoting sports for all, an equally \r\nimportant objective of OCM along with high performance sports. They also form a \r\nconduit for school leavers to further their sporting activities after they left \r\nschools. Tunku Imran, president of OCM spoke passionately that he rather sees 2 \r\nmillion individuals running than having 5 gold medals. I would put in another \r\nway, if we have 2 million individuals running recreationally, we already have \r\nthe cake. Should we also win the SEA Games Marathon gold medal, we then have the \r\nicing on the cake. Could you imagine having 2 million individuals running? It \r\nmeans that we become a healthier nation with fewer problems from lifestyle \r\ndiseases. We would move closer to a sporting culture like in Australia. \r\n<b>Examples of Grass Root Development </b>I do have a little story \r\nto share on the role of clubs with Michelle Tan Bee Kiang as the case study. In \r\n2000 and 2001 when Michele was in Form 4 and 5, she ran with the Pacesetters \r\nYouth Program at Kampung Pandan under the guidance of Viviene Kartsounis and KK \r\nOon. She did not have family support in pursuit of the sports. The club played a \r\nrole here and she was supported via the New Balance Racing Team program as a \r\nback-up runner. On Sundays for the long runs, members of the Permaisuri Group \r\nsuch as Phoon Yoke Heng and a few others provided her with the transport to \r\nBukit Aman Car-park where the Pacesetters train for their long runs. She took \r\npart in both the track and road events with some modest achievements. She wrote \r\nabout her experience with the club in her article, ""Thoughts of a young \r\nPacesetter"" (Footloose January 2001)I recall she joined me to run at a \r\nroad race in Perak in 2001. On the way back, Jenny Lim (PACM ladies captain \r\nthen) hitched a ride from us and while in my vehicle, Jenny advised her ""You \r\nhave strong legs, you should be able to train harder and improve"" Michelle left \r\nthe club after her Form 5 and further her studies in LLB. After her LLB, she \r\nre-emerged in the club and started training with the better runners, including \r\nthe African runners. Today she is one of the top 3 runners in the women open \r\ncategory for marathon and 21km with a personal best time of 3hr 45mins for the \r\nmarathon. The club cannot claim credit for her current achievements but the club \r\ndid provided her a niche during her formative years when she was in Form 4 and \r\n5; that is factual. Another story I wish to share is on my third \r\ndaughter, Karen. In her younger days, she is kind of a softie among my 4 girls. \r\nHer school in Subang Jaya is like any other schools now, rushing off their \r\nsports activities by the first few months of the year to focus on producing As \r\nin the public exams. She was lucky to get associated with a former basketball \r\nplayer turned coach by the name of Gary. He has the passion for the sports and \r\ngathered about 20 girls from a few schools to provide them the basic training \r\nwith the intention to form a girl team for local competitions such as the \r\nJasmine Cup. Over the last 2 years I witnessed her improvement in the sports and \r\nshe ended by representing her district in the Inter-district Under 18 Basketball \r\nCompetition, her team came out runners-up in 2009. In my housing area, Subang \r\nJaya we also have a group of individuals who raise funds with some help from \r\nDatuk Lee Hwa Beng, assembly man of Subang Jaya then and MPSJ to build a covered \r\nbasketball court in USJ14. This covered court comes with lights and can host \r\ntournaments without interruption by the weather. I appreciate the effort of this \r\ngroup of individuals and Gary towards providing my daughter and many kids in \r\nSubang Jaya an opportunity to play basketball beyond what the school can cater. \r\n<b>Build the Foundation</b>These two grass root stories gave hope \r\ntowards a sporting culture and there are groups and individuals out there \r\nwilling to contribute to sports mainly due to their passion for it. The SSAs \r\nneed to engage with these groups, clubs and individuals and give them the \r\nappropriate support. Engagement with them via membership, affiliation, \r\ncommunication will be a good start towards building up a strong representation \r\nof the sports at district / state level. The SSAs should provide incubator \r\nservice (helping clubs through the formative stage) to encourage more clubs to \r\nbe formed and get affiliated to them to create a wider base of both recreational \r\nand high performance sports practitioners. When more of the states are strong, \r\nthey become the foundation towards a stronger national body. When more of the \r\nnational bodies are strong, their contribution towards national sports will be \r\nsignificant and OCM as a coordinating body can perhaps become great one \r\nday!",<blank>,2010-04-16
194,0,30 minutes makes the difference!,"\r\n\r\n\r\n\r\n\r\n\r\n\r\n<p>A message from Agita Mundo: The World Health Organisation recently stated \r\nthat sedentarism is killing over 3 million persons per year around the world. \r\nThis makes it the fourth largest course of death worlwide! To overcome this \r\nepidemic situation we have a simple medicine: Complete at least 30 minutes \r\nof moderate intensity physical activity on most (5) days of the week, either \r\ncontinuously or in blocks of 10 to 15 minutes. We are pleased to be celebrating \r\nthe World Day for Physical Activity with the theme: Active Cities, Health Lives! \r\nKeeping Agitating today and everyday \r\n!</p>",<blank>,2010-04-09
195,0,The 11th ASFAA Congress held in Israel,"<p>The 11th ASFAA Congress, with the theme of ""Challenging the Phenomenon of \r\nObesity in Modern Society"", was held in Tel-Aviv, Israel, from March 21 to 22, \r\n2010. Over 100 experts and representatives from nearly 20 countries/regions \r\nattended the Congress. Mr. Feng Jianzhong, President of ASFAA, delivered a \r\nspeech at the opening ceremony.</p>\r\n<p>During the Congress, the 27th ASFAA Board Meeting and 19th ASFAA General \r\nAssembly were convened. The major issues were discussed and approved at the \r\nmeetings, including the Revision of ASFAA Statute, Minutes of the 26th ASFAA \r\nBoard Meeting, Secretariat Work Report 2009, Financial Report 2009, recruitment \r\nof Korea Council of Sport for All as a new member of ASFAA, integration of APOSA \r\ninto ASFAA, and opening the bid for the next ASFAA Congress and General \r\nAssembly. </p>\r\n<p>The TAFISA Board Meeting was held from March 20 to 21.</p>",<blank>,2010-04-02
196,1,"Hong Kong 53rd Festival of Sport Promote ""Sport for All"" Message","\r\n\r\n\r\n\r\n\r\n\r\n\r\nHong Kong 53rd Festival of Sport (""FOS"") will be held from March to June \r\n2010. This annual event promoting ""Sport for All"" and leading a healthy \r\nlifestyle in the community is subvented by the Leisure and Cultural Services \r\nDepartment (""LCSD"") and continually title sponsored by Bank of China (Hong Kong) \r\nfor four successive years. \r\nThis year's FOS theme is ""Sport for All"" Lead a Healthy Life! According to \r\na recent survey conducted by the Community Sports Committee of LCSD, people are \r\nrecommended to take part in physical and sports activities for at least 30 \r\nminutes a day and three days a week in order to lead a more healthy life. \r\nTo encourage people to regularly participate in physical and sports \r\nactivities, Mr. WONG Kam Po (Cycling), Mr. WU Siu Hong (Bowling), Ms. Stephanie \r\nAU Hoi Shun (Swimming), and Mr. LAW Hiu Fung (Rowing) have been invited to be \r\nthe 53rd FOS ambassadors. More than 80 sports competitions, sports \r\ndemonstrations, family fun days and featured sports events will be organised by \r\n74 National Sports Associations from March 10 to June 10 spanning across 18 \r\ndistricts in Hong Kong. Public are welcome to join and experience the fun of \r\nsports by participating in the three new large-scale sporting events to be held \r\nin Eastern District, Kwun Tong District and Tsuen Wan District. Admission is \r\nfree for all events. ",<blank>,2010-03-31
197,0,The Editorial Meeting of ASFAA Journal,"<p>The Editorial Meeting of ASFAA Journal was held on March 10, 2010, in \r\nBeijing, China. Dr. Yasuo Yamaguchi chaired the meeting. The Editorial members \r\nincluding Dr. Sho Nishizawa, Makoto Chogahara, Professor Yang Zeyi and Ren Hai \r\nwere present. The history of ASFAA was introduced at first. Then the Guidelines \r\nof Contributors and the Reviewer Form of ASFAA Journal were discussed. The \r\nreviewers for contributed papers were appointed at the meeting. The 10th ASFAA \r\nJournal is expected to be published at the end of May or June, 2010.</p>",1361957231.jpg,2010-03-11
198,1,Australian Minister for Sport encourages kids to get physically active,"<p>Minister for Sport Kate Ellis visited Risdon Vale Primary School in Hobart on \r\n2 March, encouraging all students to get healthy and physically active through \r\nthe Australian Sport Commission's Active After-school Communities (AASC) \r\nprogram.</p>\r\n<p>Ms Ellis joined students from Risdon Vale Primary School participating in a \r\nlocal triathlon event as part of the AASC program.</p>\r\n<p>'Learning to lead a healthy and active lifestyle is just as important as the \r\nother lessons we are taught as children,' Ms Ellis said.</p>\r\n<p>'Being healthy helps students to make the most of their education and also \r\ncombats obesity and preventable diseases later in life.</p>\r\n<p>'Through initiatives such as Active After-school Communities program students \r\nare learning the value of leading an active life by not just talking about it \r\nbut getting active themselves.</p>\r\n<p>'Students at Risdon Vale Primary are among the 150 000 children who are \r\ntaking part in AASC program at 3270 schools Australia-wide,' Ms Ellis said.</p>\r\n<p>Risdon Vale Primary School has been a part of the program since its inception \r\nand students have taken part in sports such as BMX, dancing, gymnastics, cricket \r\nand triathlon.</p>\r\n<p>'About 150 students have taken part in the school triathlon program since \r\n2005, with many going on to compete in the Southern Tasmanian Primary School \r\nTriathlon Series,' Ms Ellis said.</p>\r\n<p>'This is a magnificent achievement for the school and its students. This \r\ninvolvement will leave a legacy of good health to the students, their families \r\nand the Hobart community.'</p>",<blank>,2010-03-10
199,2,24th Family Walking in Iran,"According to the Public Relations of Iran Sport For All Federation(ISFAF), based \r\non the Family Walking programs of ISFAF, The 24th Family Walking was held with \r\npresence of 200 thousand citizens in Kermanshah on March 5th, 2010. At the end, \r\nKermanshah Physical Education Department's official awarded many cash and \r\nsporting gifts to the participants.\xa0",<blank>,2010-03-10
200,0,"'Start Me Up' Women's Run, Cycle or Walk Challenge 2010 in New Zealand","\r\n\r\n\r\n\r\n\r\n\r\n\r\n<p>A challenge for women and teenage girls in New Zealand to 'kick start' and \r\ncontinue their exercise, in a walk, run or cycle event, while enjoying the Hutt \r\nValley's outdoor trails. </p>\r\n<p>Sunday 7 March 2010, start time 1pm, Hikoikoi Reserve, Petone. </p>\r\n<p>A seascape 4km or 8km walk or run from Hikoikoi Reserve along Petone \r\nforeshore to Petone wharf and return or 15km or 25km recreational ride along \r\nHutt River Trail to either Kennedy Good Bridge or Stokes Valley and return. </p>\r\n<p>This is an untimed challenge with an emphasis on participation and fun rather \r\nthan competition. </p>",<blank>,2010-03-01
201,2,Singapore to Promote Youth Sports Development,"\r\n\r\n\r\n\r\n\r\n\r\n\r\nThe Singapore Sports Council (SSC) and Nestle MILO signed a Memorandum of \r\nAgreement (MOU) on February 19 at Seng Kang Primary School to officiate a \r\nyear-long agreement between both organisations in championing youth sports \r\ndevelopment and learning through play to our young in Singapore. The significant \r\noccasion was attended by Dr Vivian Balakrishnan, Minister for Community \r\nDevelopment, Youth and Sports; Mr Teo Ser Luck, Senior Parliamentary Secretary, \r\nMinistry of Community Development, Youth and Sports and Ministry of Transport \r\nSingapore; as well as Team Singapore youth athletes such as Adam Goh \r\n(Basketball); Terence Choo (Sailing); Abel Lim (Shooting); Amanda Lim (Swimming) \r\nand Chau Hai Qing (Table Tennis). \r\nUnder the MOU, the SSC and MILO will be working closely on multiple \r\nsynergistic programmes and platforms, all contributing towards youth sports \r\npromotion and development. The MOU will be completed in three phases, beginning \r\nfrom February till December 2010, with Singapore's favourite energy drink, MILO \r\npledging more than S$3 million in cash and kind, with substantial investment in \r\nactivation programmes. The MOU marks MILO's 60th year in its advocacy on the \r\ndevelopment of youth sports in Singapore.\r\nExpressing his thoughts on the partnership, Mr Oon Jin Teik, CEO of the SSC \r\nsaid, ""Singapore's young people under the age of 25 account for about one-third \r\nof our population, according to the latest data available. This 1.16 \r\nmillion-strong demographic will be our next generation of elite athletes, \r\ncoaches, officials, volunteers, administrators and visionaries. They will ensure \r\nthe expansion and self-sustainability of our sports sector. Hence, we need to \r\nprepare them to take on these roles for Singapore. I firmly believe that this \r\npartnership with MILO will be a huge step in helping us shape the youth of today \r\nfor tomorrow's sporting needs.""\r\nThrough MILO and SSC's partnership, both organisations will be rolling out \r\nactivities under three phases in 2010 - Inspiring Singapore, Cheering Singapore \r\nand Legacy Singapore. \r\nInspiring Singapore will start immediately with MILO supporting about 490 \r\nathletes across 26 Olympic sports, with all the athletes and NSAs receiving \r\nabout S$200,000 from this partnership. The second phase, Cheering Singapore will \r\nsee the launch of activities to rally Singaporeans to cheer on their athletes \r\nand support them for the upcoming major games. Finally, Legacy Singapore will \r\ncelebrate and congratulate the performance of athletes, with plans to launch \r\nsatellite centres for each of the 26 Olympic sports to promote sports \r\ndevelopment in youths, further advocating MILO's ""Play More, Learn More"" \r\ncampaign this year, championing learning values such as confidence, \r\nsportsmanship, respect and other lessons gained from an active sporting \r\nlifestyle.\r\nOther plans in the pipeline include the production and launch of an \r\n8-episode reality sports programme, featuring youth contestants where they will \r\nhave to use their wits, skills and physical strength to compete against one \r\nanother in a series of fun sporting activities. The programme will be \r\nbroadcasted on Starhub's Super Sports Arena Channel from 23 May 2010.\r\nA great supporter and active participant in sports development in Singapore \r\nsince the 1950s, MILO has consistently contributed to a sporting nation, through \r\nthe sponsorship of various popular sports such as track and field, swimming, \r\nbasketball and soccer. The household name has also supported partnerships with \r\nthe Ministry of Education (MOE), the SSC and People's Association, strengthening \r\nits position as a strong advocate of sports and an active and healthy \r\nlifestyle.\r\nMr Suresh Narayanan, Managing Director of Nestle Singapore, expressed his \r\nenthusiasm for the new campaign, ""We firmly believe that an active lifestyle \r\nthrough sports is an excellent avenue for youths to pick up key values and \r\nattitudes towards life, equipping them with the mindset and life skills that \r\ncannot be picked up from books. As we celebrate about 60 years of MILO's \r\ninvolvement with sports development in Singapore, we are honoured to be able to \r\ncommemorate our involvement and commitment to the community through this \r\npartnership with the SSC. Sports is a wonderful platform for our youths to learn \r\nimportant values such as honesty, teamwork, fair play, respect, adherence to \r\nrules, discipline, perseverance, resilience and a strong sense of purpose and we \r\nhope this partnership will further engage the youth in Singapore and develop \r\nthem to their full potential.""\r\nThe VIPs, students from Seng Kang Primary and Team Singapore youth athletes \r\ncommemorated the MOU with an exciting telematch. Seng Kang Primary is a great \r\nbeliever of learning through play and is the first school to implement daily \r\nPhysical Education (PE) lessons as part of its \r\ncurriculum.",<blank>,2010-02-21
202,1,Youngsters in Qatar talk about their experience of the ground-breaking Schools Olympic Programme,"The third edition of Schools Olympic Program (SOP) under the theme ""Sport \r\n& Culture"" is great. Qatar's Schools Olympic Programme has already been \r\nspoken of with admiration and enthusiasm by the Olympic Movement, National \r\nOlympic Committees and former track stars like Carl Lewis, who have devoted \r\ntheir time to using sport to improve the lives of young people. \r\nSome of the participating students tell their stories about the program. \r\nThey were asked about the level of change in their school's sporting life since \r\nthe programme was launched - and about the way they see their sporting future \r\nand that of Qatar in the coming years.\r\nThe Qatari student Haya Jamal Al Hitmi is in Year 9 at Qatar Intermediate \r\nSchool for girls. She plays in the handball team which represented the school in \r\nSOP competitions and won the gold medal last season.\r\nThe Schools Olympic Programme, she says, gave her the opportunity she had \r\nbeen waiting for to satisfy her love for her favourite sport, handball, as she \r\ncould train more and develop her skills. Haya thinks that this programme ""is \r\nmuch better than what was going on previously, since it provides youth with the \r\nopportunity to practice their interests, not only in sport but also in many \r\nother cultural and artistic domains, due to the various accompanying activities \r\norganised during the programme.""\r\nMuawiya Abdulrahman a student at Al Ahnaf Bin Qais Intermediate Independent \r\nSchool for boys, says he has noticed an important improvement in school sports \r\nsince the launch of the Schools Olympic Programme. ""This improvement appeared \r\nmainly in the greater number of events and matches. The students have more \r\nopportunities to practice and develop their skills and experience by playing \r\nmany more matches and participating in many more races, especially for those who \r\nare talented and have a chance to progress. At the same time, competitions are \r\nrunning in an atmosphere of fun between students of various schools.""\r\nMeanwhile, Ali Hassan Al Jassim of the same Al Ahnaf Bin Qais Intermediate \r\nIndependent School for boys, says ""Competitions dramatically increased in \r\nnumber, and were organised in a better way and in an appropriate atmosphere for \r\nenhancing our technical levels as well as the commitment to discipline and fair \r\nplay.""\r\nAli Hassan, moreover, does not think that practicing sport affects his \r\nstudies since academic success at school remains of highest priority for the \r\nfuture of the student. ""The student should devote the same interest to his \r\nstudies as his sport activities until he finishes his secondary studies. Then, \r\nif he and his PE teachers or coaches are sure that he has the talent for a \r\nsuccessful career in sport, he could dedicate more time and effort to his \r\nsport.""",<blank>,2010-02-04
203,5,Dance Day in Hong Kong,"""Dance Day"" will be held at the Yuen Long Theatre and Avenue \r\non February 6. Programmes include an opening parade and ceremony, dance \r\ndemonstrations, game booths, workshops and exhibitions. Free shuttle bus \r\nservices will be available from West Rail Tin Shui Wai Station and Yuen Long \r\nStation to Yuen Long Theatre between 12noon and 4pm.\xa0",<blank>,2010-02-04
204,0,Australian Sports Commission Helping Improve sports participation in African communities,"<p>Local communities in Botswana, Swaziland and South Africa are using a new \r\nsport development impact assessment approach to increase the positive impact of \r\ntheir local sporting clubs.</p>\r\n<p>Central to the approach is the training program for the Sport-in-development \r\nImpact Assessment Tool, developed in 2006 by the University of Johannesburg, \r\nwhich helps communities assess the effectiveness and impact of sport and \r\nphysical activity programs.</p>\r\n<p>The tool was supplied as part of the Active Community Clubs (ACC) initiative, \r\nan Australian Government program dedicated to improving and increasing \r\nparticipation in organised sport and physical activity.</p>\r\n<p>South African sport development officer Zoe Tom said the impact assessment \r\ntool is helping the ACC clubs to monitor and evaluate key factors underlining \r\nthe growth, viability and effectiveness of ACC programs in the community. The \r\ninformation gained is being used to improve the delivery of existing programs \r\nand to create new ones to better meet the needs of the community.</p>\r\n<p>Imvomvo sport development manager Thoko Mlonyeni also praised the monitoring \r\nand evaluation process, which has led to the development of several new sport \r\nparticipation initiatives, including programs for young children and senior \r\ncitizens. Participants in these programs are also benefitting from training and \r\ndevelopment as coaches, officials and volunteers.</p>\r\n<p>The ACC program was established in 2001 to provide a diverse range of sports \r\nparticipation programs for African communities, including training and \r\ndevelopment in volunteering, sports administration, life skills and HIV/AIDS \r\nawareness. It is funded by the Australian Agency for International Development \r\n(AusAID) and is managed and delivered by the Australian Sports Commission in \r\npartnership with local organisations in Botswana, Swaziland and South \r\nAfrica.</p>",<blank>,2010-01-27
205,0,Employee Sport Competition in Iran,"\r\n\r\n\r\n\r\n\r\n\r\n\r\nSport competitions of Iran employees were ended in Tehran on January 16, 2010, \r\nwith 1544 participants in 182 men teams and 897 participants in 119 women teams. \r\nAccording to the public relations of Iran Sport for All Federation, the \r\ncompetitions were ended by final games of volleyball. The man competitions \r\nincluded 9 sports as following: Aerobic and Fitness(93 participants in 19 teams \r\nin 5 group); Darts(69 participants in 14 teams); Track and Field(78 participants \r\nin 18 teams); Footstall (433 participants in 33 teams); Table Tennis(433 \r\nparticipants in 33 teams); Chess(102 participants in 18 teams); Swimming(215 \r\nparticipants in 24 teams); Tug of War(139 participants in 10 teams); \r\nVolleyball(316 participants in 24 teams). The Woman competitions were held in 7 \r\nsports as following: Aerobic and Fitness (138 participants in 25 teams); \r\nDarts(84 participants in 18 teams); Table Tennis( 92 participants in 19 teams); \r\nChess(63 participants in 22 teams); Tug of War(97 participants in 9 teams); \r\nVolleyball (216 participants in 15 teams). \r\n",<blank>,2010-01-21
206,0,Upcoming Events of TAFISA in 2010,"\r\n\r\n\r\n\r\n\r\n\r\n\r\nTAFISA is excited to announce the following events for 2010. Please contact \r\nthe TAFISA office for more detailed information and program updates.• \r\nTAFISA Certified Leadership Course, Tehran, Iran, 29th January to 4th February \r\n2010\xa0• TAFISA Board Meeting, Tel-Aviv, Israel, 20th and 21st March \r\n2010\xa0• 11th ASFAA Congress and General Assembly, Tel-Aviv, Israel, 20th \r\nto 23rd March 2010\xa0• TAFISA Certified Leadership Course, Kuala Lumpur, \r\nMalaysia, April 2010 (TBC)\xa0• TAFISA International Challenge Day, \r\nWorldwide, 26th May 2010\xa0• ESFAN Conference, Wiesbaden, Germany, 28th to \r\n30th May 2010 (Date TBC)\xa0• TAFISA Certified Leadership Course, Turkey, \r\nJuly/August 2010 (TBC)\xa0• TAFISA Board Meeting, Tanzania, 20th to 22nd \r\nAugust 2010 (TBC)\xa0• TAFISA\xa0 European Traditional Sports and Games \r\nFestival, Belgium, 26th September 2010 (TBC)\xa0• TAFISA World Forum, \r\nCanada, October 2010 (TBC)\xa0• TAFISA World Walking Day, 2nd and 3rd \r\nOctober, 2010\xa0• TAFISA Board Meeting, Macau, October 2010 \r\n(TBC)\xa0• TAFISA Certified Leadership Course, Argentina, November 2010 \r\n(TBC)",<blank>,2010-01-12
